Frequency,IN2/IN1
100.000000	0.990068,-0.099133
112.201845	0.987528,-0.110947
125.892541	0.984352,-0.124081
141.253754	0.980380,-0.138662
158.489319	0.975425,-0.154795
177.827941	0.969260,-0.172582
199.526231	0.961608,-0.192112
223.872114	0.952144,-0.213431
251.188643	0.940489,-0.236547
281.838293	0.926219,-0.261383
316.227766	0.908859,-0.287779
354.813389	0.887909,-0.315449
398.107171	0.862872,-0.343953
446.683592	0.833287,-0.372690
501.187234	0.798805,-0.400864
562.341325	0.759261,-0.427505
630.957344	0.714715,-0.451523
707.945784	0.665557,-0.471768
794.328235	0.612510,-0.487145
891.250938	0.556669,-0.496750
1000.000000	0.499354,-0.499971
1122.018454	0.445871,-0.496100
1258.925412	0.383816,-0.486966
1412.537545	0.332680,-0.472658
1584.893192	0.283393,-0.451061
1778.279410	0.240207,-0.427045
1995.262315	0.202430,-0.400662
2238.721139	0.164355,-0.371922
2511.886432	0.135003,-0.342951
2818.382931	0.111816,-0.315244
3162.277660	0.089470,-0.287194
3548.133892	0.072473,-0.260176
3981.071706	0.058212,-0.235648
4466.835922	0.047271,-0.212965
5011.872336	0.037700,-0.191627
5623.413252	0.030588,-0.172115
6309.573445	0.024263,-0.154608
7079.457844	0.019279,-0.138265
7943.282347	0.015377,-0.123879
8912.509381	0.012417,-0.110896
10000.000000	0.009891,-0.099091
11220.184543	0.007814,-0.088200
12589.254118	0.006308,-0.078768
14125.375446	0.004993,-0.070361
15848.931925	0.003959,-0.062760
17782.794100	0.003103,-0.056028
19952.623150	0.002496,-0.049965
22387.211386	0.002026,-0.044533
25118.864315	0.001578,-0.039706
28183.829313	0.001248,-0.035379
31622.776602	0.001016,-0.031536
35481.338923	0.000803,-0.028112
39810.717055	0.000618,-0.025071
44668.359215	0.000502,-0.022344
50118.723363	0.000402,-0.019919
56234.132519	0.000309,-0.017752
63095.734448	0.000251,-0.015824
70794.578438	0.000199,-0.014106
79432.823472	0.000159,-0.012571
89125.093813	0.000124,-0.011205
100000.000000	0.000100,-0.009985
