Frequency,IN2/IN1
50.000000	1.532504,41.222508
56.100923	1.537609,36.739821
62.946271	1.553109,32.703069
70.626877	1.566502,29.135374
79.244660	1.574655,25.942553
88.913971	1.579287,23.102731
99.763116	1.585266,20.570753
111.936057	1.587877,18.306476
125.594322	1.587431,16.276876
140.919147	1.585630,14.469347
158.113883	1.583891,12.855012
177.406695	1.581089,11.419919
199.053585	1.575672,10.125101
223.341796	1.568988,8.976043
250.593617	1.557719,7.938076
281.170663	1.545353,7.008504
315.478672	1.529635,6.177961
353.972892	1.508791,5.424935
397.164117	1.485160,4.750746
445.625469	1.454798,4.143238
500.000000	1.418193,3.593823
561.009227	1.374471,3.097420
629.462706	1.323246,2.651800
706.268772	1.263414,2.251120
792.446596	1.195533,1.891334
889.139705	1.120457,1.572126
997.631157	1.037264,1.289724
1119.360569	0.948310,1.043820
1255.943216	0.856181,0.832760
1409.191466	0.762840,0.654382
1581.138830	0.671547,0.505379
1774.066946	0.583003,0.383010
1990.535853	0.499392,0.285347
2233.417961	0.423311,0.209305
2505.936168	0.355331,0.149938
2811.706626	0.295046,0.104850
3154.786722	0.242998,0.071594
3539.728922	0.198682,0.047046
3971.641174	0.161249,0.029565
4456.254691	0.130294,0.017037
5000.000000	0.104527,0.008437
5610.092272	0.083466,0.002628
6294.627059	0.066428,-0.001141
7062.687723	0.052467,-0.003462
7924.465962	0.041538,-0.004796
8891.397050	0.032536,-0.005503
9976.311575	0.025452,-0.005516
11193.605693	0.019734,-0.005512
12559.432158	0.015364,-0.005236
14091.914656	0.011369,-0.004504
15811.388301	0.008764,-0.004197
17740.669462	0.006429,-0.003550
19905.358528	0.004936,-0.003231
22334.179608	0.003467,-0.002657
25059.361681	0.002518,-0.002159
28117.066260	0.001690,-0.001784
31547.867224	0.001103,-0.001211
35397.289219	0.000595,-0.001062
39716.411736	0.000427,-0.000843
44562.546907	0.000303,-0.000689
50000.000000	0.000413,-0.000974
