Frequency,IN2/IN1
100.000000	0.990068,-0.099133
112.201845	0.987528,-0.110947
125.892541	0.984352,-0.124081
141.253754	0.980380,-0.138662
158.489319	0.975425,-0.154795
177.827941	0.969260,-0.172582
199.526231	0.961608,-0.192112
223.872114	0.952144,-0.213431
251.188643	0.940489,-0.236547
281.838293	0.926219,-0.261383
316.227766	0.908859,-0.287779
354.813389	0.887909,-0.315449
398.107171	0.862872,-0.343953
446.683592	0.833287,-0.372690
501.187234	0.798805,-0.400864
562.341325	0.759261,-0.427505
630.957344	0.714715,-0.451523
707.945784	0.665557,-0.471768
794.328235	0.612510,-0.487145
891.250938	0.556669,-0.496750
1000.000000	0.499354,-0.499971
1122.018454	0.441247,-0.497627
1258.925412	0.386379,-0.486320
1412.537545	0.333268,-0.471321
1584.893192	0.284260,-0.450981
1778.279410	0.239746,-0.426913
1995.262315	0.200209,-0.400350
2238.721139	0.166115,-0.371945
2511.886432	0.136647,-0.343223
2818.382931	0.111513,-0.314789
3162.277660	0.090825,-0.287081
3548.133892	0.073557,-0.260806
3981.071706	0.059354,-0.235979
4466.835922	0.047658,-0.212902
5011.872336	0.038279,-0.191624
5623.413252	0.030590,-0.172173
6309.573445	0.024468,-0.154357
7079.457844	0.019586,-0.138311
7943.282347	0.015614,-0.123726
8912.509381	0.012391,-0.110600
10000.000000	0.009869,-0.098814
11220.184543	0.007898,-0.088348
12589.254118	0.006236,-0.078869
14125.375446	0.004961,-0.070343
15848.931925	0.003963,-0.062763
17782.794100	0.003171,-0.055942
19952.623150	0.002508,-0.049888
22387.211386	0.001949,-0.044511
25118.864315	0.001575,-0.039659
28183.829313	0.001282,-0.035406
31622.776602	0.000967,-0.031575
35481.338923	0.000774,-0.028144
39810.717055	0.000650,-0.025067
44668.359215	0.000499,-0.022351
50118.723363	0.000390,-0.019916
56234.132519	0.000327,-0.017755
63095.734448	0.000251,-0.015824
70794.578438	0.000201,-0.014100
79432.823472	0.000158,-0.012569
89125.093813	0.000129,-0.011202
100000.000000	0.000100,-0.009985
