Frequency,IN2/IN1
500.000000	-0.550630,0.178415
582.957201	-0.551873,0.215325
679.678195	-0.551422,0.265938
792.446596	-0.545913,0.330377
923.924899	-0.527213,0.421972
1077.217345	-0.474959,0.542020
1255.943216	-0.345018,0.686051
1464.322282	-0.089797,0.778534
1707.274437	0.223668,0.675882
1990.535853	0.371524,0.405222
2320.794417	0.343900,0.188937
2705.847633	0.264504,0.067250
3154.786722	0.191864,0.010946
3678.211272	0.134925,-0.014718
4288.479493	0.094775,-0.027019
5000.000000	0.067420,-0.029415
5829.572006	0.046969,-0.029681
6796.781954	0.032254,-0.027799
7924.465962	0.021513,-0.025505
9239.248987	0.013315,-0.022330
10772.173450	0.006878,-0.021167
12559.432158	0.001704,-0.018700
14643.222823	-0.001782,-0.016794
17072.744369	-0.007464,-0.016793
19905.358528	-0.016454,-0.012317
23207.944168	-0.015660,0.010171
27058.476327	-0.002906,0.006072
31547.867224	-0.001413,0.002194
36782.112723	0.000097,0.003561
42884.794930	0.001956,-0.000780
50000.000000	0.001075,0.000269
58295.720059	0.000585,-0.001016
67967.819544	0.000591,0.000061
79244.659623	0.000005,0.000714
92392.489871	-0.007453,-0.009494
107721.734502	0.007724,-0.006299
125594.321575	-0.003103,-0.001359
146432.228231	-0.002545,-0.000011
170727.443692	0.000508,0.000230
199053.585277	-0.000171,0.001636
232079.441681	-0.000686,-0.000883
270584.763273	-0.000436,0.000222
315478.672240	0.000684,-0.000093
367821.127230	-0.000044,0.000119
428847.949295	-0.000031,0.000029
500000.000000	-0.004113,0.007041
582957.200590	0.000003,-0.000008
679678.195439	0.000131,-0.000051
792446.596231	-0.000172,-0.000205
923924.898711	0.000017,-0.000028
1077217.345016	0.000037,0.000092
1255943.215755	-0.000086,0.000009
1464322.282313	0.000034,0.000027
1707274.436917	-0.000059,0.000109
1990535.852767	0.000026,0.000084
2320794.416806	-0.000006,-0.000004
2705847.632732	0.000006,-0.000005
3154786.722401	0.000012,0.000001
3678211.272298	0.000032,0.000010
4288479.492954	0.000009,-0.000031
5000000.000000	-0.002364,0.001933
