Frequency,IN2/IN1
99.999795	9.349960,49.804927
109.051030	4.407925,40.388563
118.905820	4.653033,36.290176
129.533413	3.305134,33.531799
141.242648	4.342104,30.341000
154.082889	3.309911,28.174011
167.784891	4.641816,25.066132
183.149807	3.383239,23.445538
199.600389	4.167673,21.254892
217.390858	3.330686,19.495263
236.966338	3.687081,17.810731
258.397402	3.224155,16.049027
281.689563	3.781033,14.734122
307.691676	3.642815,13.372994
334.447474	3.242440,12.341214
364.962755	3.162243,11.236238
398.405557	3.172510,10.004983
434.781716	3.351307,8.940359
473.932677	3.000371,8.122608
515.462860	3.206947,7.239841
561.796600	3.133544,6.436919
613.495673	2.922075,5.950798
666.665298	2.761744,5.218440
729.925509	2.722000,4.430398
793.649165	2.565098,3.993649
869.563433	2.424612,3.474365
943.394290	2.286193,3.022652
1030.925719	2.155127,2.589265
1123.593200	2.013420,2.146766
1219.509692	1.891399,1.827579
1333.330597	1.729064,1.558737
1449.272388	1.597970,1.295842
1587.298330	1.434789,1.071216
1724.134392	1.308724,0.888212
1886.788580	1.161658,0.704433
2040.812138	1.036007,0.574822
2222.217661	0.915776,0.456361
2439.019384	0.799350,0.350072
2666.661194	0.691750,0.264110
2898.544776	0.602365,0.204981
3174.596659	0.518397,0.152580
3448.268785	0.455139,0.114242
3773.577161	0.381535,0.075609
4081.624276	0.332181,0.057555
4444.435323	0.277716,0.032590
4878.038769	0.238196,0.024997
5263.147093	0.202901,0.009134
5769.218928	0.173706,0.006684
6249.987172	0.138481,-0.001860
6896.537570	0.115011,-0.008288
7499.984607	0.100120,-0.009061
8108.091467	0.083452,-0.011136
8823.511302	0.071549,-0.016240
9677.399493	0.062451,-0.015391
10526.294185	0.050781,-0.014388
11538.437857	0.046498,-0.015330
12499.974345	0.035712,-0.009312
13636.335649	0.033083,-0.010879
14999.969214	0.026929,-0.012238
16216.182934	0.022709,-0.010749
17647.022604	0.023200,-0.009149
19230.729761	0.022224,-0.006778
21052.588370	0.018371,-0.009310
23076.875714	0.023440,-0.004890
24999.948690	0.014534,-0.019430
27272.671298	0.022215,-0.004579
29999.938428	0.027061,-0.003325
32257.998309	0.026180,-0.004418
35714.212414	0.034264,-0.005747
38461.459523	0.040713,-0.001470
42105.176741	0.041989,-0.003481
46153.751427	0.049880,-0.003023
49999.897379	0.340129,-0.018650
54545.342596	0.047229,-0.011995
59999.876855	0.053029,0.002855
64705.749550	0.011455,-0.006101
71428.424828	0.006121,0.016793
77777.618146	-0.012882,0.012253
83333.162299	0.012870,0.011928
90908.904326	0.001412,0.009240
99999.794759	-0.020752,-0.521949
