


Tue Nov 21 18:29:18 2023
FRA analyzer by Arief Noor Rahman
No	Freq	Mag[IN1](dB)	Ph[IN1](deg)	Mag[IN2](dB)	Ph[IN2](deg)	Mag[IN2-IN1](dB)	Ph[IN2-IN1](deg)	elapsed time
6	177.82794	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	3.922
6	177.82794	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.000
6	177.82794	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.062
7	199.52623	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.125
7	199.52623	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.203
7	199.52623	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.266
7	199.52623	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.328
7	199.52623	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.391
7	199.52623	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.453
7	199.52623	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.516
8	223.87211	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.578
8	223.87211	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.656
8	223.87211	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.719
8	223.87211	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.781
8	223.87211	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.844
8	223.87211	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.906
8	223.87211	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	4.969
8	223.87211	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	5.047
9	251.18864	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	5.109
9	251.18864	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	5.187
9	251.18864	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	5.250
9	251.18864	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	5.312
9	251.18864	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	5.375
9	251.18864	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	5.437
9	251.18864	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	5.500
10	281.83829	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	5.562
10	281.83829	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	5.641
