Frequency,IN2/IN1
500.000000	1.418359,3.594693
539.887581	1.389576,3.257480
582.957201	1.358436,2.943472
629.462706	1.323552,2.652810
679.678195	1.283968,2.379198
733.899634	1.241610,2.126318
792.446596	1.195153,1.890937
855.664152	1.146187,1.674885
923.924899	1.093512,1.474176
997.631157	1.037351,1.289138
1077.217345	0.978550,1.122045
1163.152534	0.917981,0.969818
1255.943216	0.856209,0.832757
1356.136290	0.793912,0.710384
1464.322282	0.732275,0.601539
1581.138830	0.671607,0.505406
1707.274437	0.611972,0.421031
1843.472532	0.554455,0.347984
1990.535853	0.499202,0.285692
2149.331174	0.447883,0.232768
2320.794417	0.399865,0.187651
2505.936168	0.355290,0.149851
2705.847633	0.314118,0.118449
2921.707067	0.276593,0.092747
3154.786722	0.242917,0.071584
3406.460345	0.212623,0.054361
3678.211272	0.185411,0.040454
3971.641174	0.161304,0.029466
4288.479493	0.139997,0.020812
4630.593641	0.121161,0.013767
5000.000000	0.104615,0.008432
5398.875812	0.090143,0.004265
5829.572006	0.077458,0.001225
6294.627059	0.066350,-0.001184
6796.781954	0.056910,-0.002795
7338.996338	0.048639,-0.004026
7924.465962	0.041487,-0.004778
8556.641521	0.035329,-0.005349
9239.248987	0.029942,-0.005515
9976.311575	0.025319,-0.005460
10772.173450	0.021347,-0.005521
11631.525336	0.017966,-0.005326
12559.432158	0.015118,-0.005242
13561.362897	0.012598,-0.005019
14643.222823	0.010326,-0.004574
15811.388301	0.008729,-0.004244
17072.744369	0.007282,-0.003641
18434.725323	0.005907,-0.003507
19905.358528	0.004661,-0.002960
21493.311735	0.003782,-0.002638
23207.944168	0.003006,-0.002564
25059.361681	0.002633,-0.002158
27058.476327	0.001728,-0.001975
29217.070669	0.001634,-0.001829
31547.867224	0.001269,-0.001577
34064.603453	0.000844,-0.001216
36782.112723	0.000517,-0.000875
39716.411736	0.000544,-0.000682
42884.794930	0.000474,-0.000909
46305.936406	0.000568,-0.000673
50000.000000	0.000496,-0.000080
