Frequency,Result
99.999795	150.934886,1937.495543
112.233215	130.795242,1526.786162
125.944326	117.099377,1208.987327
141.242648	104.557877,957.667640
158.478280	93.319429,757.409404
177.935578	82.652472,597.304824
199.600389	73.368391,471.468285
223.713187	65.082840,372.027323
251.255766	57.375099,291.800557
281.689563	50.489551,228.877833
316.455047	44.237721,178.249077
354.609201	38.727311,138.944554
398.405557	33.602227,107.157938
446.427655	29.067519,82.686782
499.998974	24.978739,63.334814
561.796600	21.213262,47.774328
632.910093	17.749810,35.379132
709.218403	14.784098,26.219211
793.649165	12.181008,19.231965
892.855310	9.783254,13.661897
999.997948	7.791841,9.658431
1123.593200	6.051746,6.635588
1265.820187	4.579461,4.419202
1408.447814	3.507033,3.008940
1587.298330	2.551490,1.909378
1785.710621	1.820533,1.185943
1999.995895	1.286108,0.733216
2222.217661	0.924863,0.464057
2499.994869	0.633418,0.268552
2816.895627	0.416561,0.148182
3174.596659	0.275580,0.081124
3571.421241	0.178261,0.040578
3999.991790	0.117672,0.021827
4444.435323	0.078796,0.010344
4999.989738	0.050103,0.004351
5660.365741	0.031440,0.000888
6249.987172	0.021061,-0.000422
7142.842483	0.012118,-0.000865
7999.983581	0.007636,-0.000904
8823.511302	0.005274,-0.000873
9999.979476	0.002984,-0.000652
11111.088307	0.001893,-0.000526
12499.974345	0.001096,-0.000422
13999.971266	0.000737,-0.000310
15789.441278	0.000406,-0.000207
17647.022604	0.000243,-0.000145
19999.958952	0.000167,-0.000120
22222.176613	0.000068,-0.000059
24999.948690	0.000014,-0.000023
27999.942532	0.000012,-0.000018
31578.882555	0.000000,-0.000004
35714.212414	-0.000000,-0.000001
39999.917903	-0.000001,-0.000000
44444.353226	-0.000000,0.000001
49999.897379	-0.000005,0.000003
56249.884552	0.000001,0.000001
62499.871724	0.000004,0.000002
71428.424828	0.000007,0.000004
79999.835807	0.000010,0.000000
88888.706452	0.000003,-0.000001
99999.794759	-0.000467,-0.000108
