Freq,CISPR32A_AVG,CISPR32A_QP,CISPR32B_AVG,CISPR32B_QP,MAG1_RAW,MAG1_AVG,MAG1_PEAK,MAG2_RAW,MAG2_AVG,MAG2_PEAK
148315.429688,8913.0000000000,0,2000.0000000000,0,637.8081981248,0,2015.4739060742,0,0.1471223413,0,9.1649077425,0,101.8135174676,0,0.0000037072,0,0.0000085668,0,0.0000543904,0
150146.484375,8913.0000000000,0,2000.0000000000,0,630.3683507200,0,1991.9639882750,0,0.1404802226,0,8.6875911327,0,95.3825112687,0,0.0000040046,0,0.0000087971,0,0.0000587821,0
151977.539063,8913.0000000000,0,2000.0000000000,0,623.1039016450,0,1969.0083291983,0,0.1381944309,0,8.4553299083,0,91.5583486387,0,0.0000045290,0,0.0000091223,0,0.0000678740,0
153808.593750,8913.0000000000,0,2000.0000000000,0,616.0086764064,0,1946.5874174442,0,0.1370839588,0,8.4562990635,0,89.7059423804,0,0.0000050287,0,0.0000095070,0,0.0000802672,0
155639.648438,8913.0000000000,0,2000.0000000000,0,609.0767879716,0,1924.6826499902,0,0.1359164093,0,8.6522175576,0,89.4841666716,0,0.0000053120,0,0.0000099242,0,0.0000943572,0
157470.703125,8913.0000000000,0,2000.0000000000,0,602.3026201983,0,1903.2762798266,0,0.1365284827,0,8.9560912411,0,90.6083441452,0,0.0000052984,0,0.0000103680,0,0.0001092490,0
159301.757813,8913.0000000000,0,2000.0000000000,0,595.6808123983,0,1882.3513671786,0,0.1404423026,0,9.2586112423,0,92.5032972695,0,0.0000049888,0,0.0000108374,0,0.0001248244,0
161132.812500,8913.0000000000,0,2000.0000000000,0,589.2062449464,0,1861.8917340306,0,0.1481015464,0,9.4677290494,0,94.5094491163,0,0.0000044579,0,0.0000113333,0,0.0001414777,0
162963.867188,8913.0000000000,0,2000.0000000000,0,582.8740258527,0,1841.8819216947,0,0.1594902076,0,9.5387712306,0,96.5907850350,0,0.0000038464,0,0.0000118643,0,0.0001598895,0
164794.921875,8913.0000000000,0,2000.0000000000,0,576.6794782240,0,1822.3071511877,0,0.1757723426,0,9.4788436872,0,99.1107655948,0,0.0000033306,0,0.0000124603,0,0.0001807682,0
166625.976563,8913.0000000000,0,2000.0000000000,0,570.6181285452,0,1803.1532862029,0,0.2014755780,0,9.3319251213,0,101.9502288327,0,0.0000030731,0,0.0000131694,0,0.0002044596,0
168457.031250,8913.0000000000,0,2000.0000000000,0,564.6856957212,0,1784.4067984791,0,0.2404743332,0,9.1611277808,0,104.4028110664,0,0.0000031633,0,0.0000140144,0,0.0002307178,0
