Frequency,IN2/IN1
100.000000	0.990068,-0.099133
112.201845	0.987528,-0.110947
125.892541	0.984352,-0.124081
141.253754	0.980380,-0.138662
158.489319	0.975425,-0.154795
177.827941	0.969260,-0.172582
199.526231	0.961608,-0.192112
223.872114	0.952144,-0.213431
251.188643	0.940489,-0.236547
281.838293	0.926219,-0.261383
316.227766	0.908859,-0.287779
354.813389	0.887909,-0.315449
398.107171	0.862872,-0.343953
446.683592	0.833287,-0.372690
501.187234	0.798805,-0.400864
562.341325	0.759261,-0.427505
630.957344	0.714715,-0.451523
707.945784	0.665557,-0.471768
794.328235	0.612510,-0.487145
891.250938	0.556669,-0.496750
1000.000000	0.499354,-0.499971
1122.018454	0.442049,-0.496599
1258.925412	0.386251,-0.486865
1412.537545	0.333286,-0.471345
1584.893192	0.284229,-0.451001
1778.279410	0.239800,-0.426928
1995.262315	0.200362,-0.400239
2238.721139	0.165990,-0.372044
2511.886432	0.136518,-0.343297
2818.382931	0.111575,-0.314812
3162.277660	0.090707,-0.287164
3548.133892	0.073426,-0.260796
3981.071706	0.059216,-0.236004
4466.835922	0.047621,-0.212927
5011.872336	0.038199,-0.191652
5623.413252	0.030587,-0.172161
6309.573445	0.024450,-0.154409
7079.457844	0.019520,-0.138314
7943.282347	0.015568,-0.123770
8912.509381	0.012407,-0.110665
10000.000000	0.009881,-0.098881
11220.184543	0.007865,-0.088307
12589.254118	0.006258,-0.078832
14125.375446	0.004978,-0.070349
15848.931925	0.003958,-0.062763
17782.794100	0.003147,-0.055983
19952.623150	0.002502,-0.049927
22387.211386	0.001988,-0.044520
25118.864315	0.001580,-0.039695
28183.829313	0.001256,-0.035390
31622.776602	0.000998,-0.031549
35481.338923	0.000793,-0.028124
39810.717055	0.000630,-0.025070
44668.359215	0.000501,-0.022346
50118.723363	0.000398,-0.019918
56234.132519	0.000316,-0.017753
63095.734448	0.000251,-0.015824
70794.578438	0.000199,-0.014104
79432.823472	0.000158,-0.012570
89125.093813	0.000126,-0.011204
100000.000000	0.000100,-0.009985
