Frequency,IN2/IN1
500.000000	3.238355,0.486540
539.887581	3.267010,0.525871
582.957201	3.301010,0.569101
629.462706	3.341542,0.617517
679.678195	3.389997,0.667801
733.899634	3.448194,0.724673
792.446596	3.518371,0.783016
855.664152	3.603606,0.849124
923.924899	3.707824,0.917680
997.631157	3.836063,0.992867
1077.217345	3.994560,1.067631
1163.152534	4.193873,1.145020
1255.943216	4.445496,1.215345
1356.136290	4.766664,1.270738
1464.322282	5.178525,1.288411
1581.138830	5.706593,1.228162
1707.274437	6.369207,1.017465
1843.472532	7.144437,0.526763
1990.535853	7.897454,-0.393633
2149.331174	8.309903,-1.824114
2320.794417	7.976280,-3.491211
2505.936168	6.852695,-4.788707
2705.847633	5.453412,-5.325916
2921.707067	4.274853,-5.287669
3154.786722	3.441426,-4.986272
3406.460345	2.907761,-4.627001
3678.211272	2.594550,-4.310979
3971.641174	2.428947,-4.078756
4288.479493	2.365623,-3.944335
4630.593641	2.393617,-3.927252
5000.000000	2.498933,-4.072979
5398.875812	2.684515,-4.460512
5829.572006	2.940083,-5.327000
6294.627059	3.013987,-7.265163
6796.781954	0.584448,-11.890033
7338.996338	-10.678196,-8.918976
7924.465962	-7.387753,-0.179142
8556.641521	-4.074782,0.822897
9239.248987	-2.577700,0.730335
9976.311575	-1.782927,0.555371
10772.173450	-1.302776,0.416081
11631.525336	-0.990965,0.314716
12559.432158	-0.773819,0.241092
13561.362897	-0.616114,0.184649
14643.222823	-0.499045,0.142235
15811.388301	-0.408107,0.112764
17072.744369	-0.337520,0.087705
18434.725323	-0.280022,0.070565
19905.358528	-0.234017,0.055231
21493.311735	-0.197239,0.045439
23207.944168	-0.166738,0.036511
25059.361681	-0.140992,0.031125
27058.476327	-0.118577,0.025543
29217.070669	-0.102356,0.023410
31547.867224	-0.087137,0.020480
34064.603453	-0.074862,0.015355
36782.112723	-0.064732,0.013855
39716.411736	-0.055870,0.011418
42884.794930	-0.047085,0.013306
46305.936406	-0.040290,0.012888
50000.000000	-0.053728,0.039930
500.000000	3.503509,1.052542
539.887581	3.556835,1.131084
582.957201	3.620091,1.217713
629.462706	3.695489,1.337307
679.678195	3.785726,1.438573
733.899634	3.893918,1.566284
792.446596	4.024631,1.676248
855.664152	4.183201,1.830697
923.924899	4.377199,1.968733
997.631157	4.615437,2.126526
1077.217345	4.908392,2.277594
1163.152534	5.278475,2.441798
1255.943216	5.747400,2.580320
1356.136290	6.352395,2.695788
1464.322282	7.114847,2.739036
1581.138830	8.081482,2.620894
1707.274437	9.276365,2.230643
1843.472532	10.675177,1.291751
1990.535853	11.974338,-0.414976
2149.331174	12.595246,-3.088584
2320.794417	11.791492,-6.115887
2505.936168	9.515368,-8.365506
2705.847633	6.771812,-9.128312
2921.707067	4.479967,-8.833286
3154.786722	2.848161,-8.024321
3406.460345	1.766584,-7.119776
3678.211272	1.073682,-6.240833
3971.641174	0.634113,-5.488797
4288.479493	0.331063,-4.853437
4630.593641	0.133047,-4.275280
5000.000000	-0.009055,-3.788031
5398.875812	-0.112670,-3.352485
5829.572006	-0.190942,-2.949498
6294.627059	-0.228795,-2.525526
6796.781954	-0.119560,-2.002363
7338.996338	0.484150,-1.964560
7924.465962	0.248636,-2.235183
8556.641521	0.036359,-2.085909
9239.248987	-0.048092,-1.906089
9976.311575	-0.103063,-1.756069
10772.173450	-0.127182,-1.592806
11631.525336	-0.155387,-1.459390
12559.432158	-0.173458,-1.318422
13561.362897	-0.177112,-1.210550
14643.222823	-0.180651,-1.124106
15811.388301	-0.199255,-1.024056
17072.744369	-0.214318,-0.965747
18434.725323	-0.208650,-0.869252
19905.358528	-0.200399,-0.820931
21493.311735	-0.209452,-0.747098
23207.944168	-0.210926,-0.672983
25059.361681	-0.228051,-0.615763
27058.476327	-0.196609,-0.560362
29217.070669	-0.228619,-0.492328
31547.867224	-0.225067,-0.445425
34064.603453	-0.220945,-0.427548
36782.112723	-0.215129,-0.394663
39716.411736	-0.228816,-0.362465
42884.794930	-0.229376,-0.281123
46305.936406	-0.239373,-0.246102
50000.000000	-0.526268,-0.263426
500.000000	3.222432,0.494410
539.887581	3.248425,0.566253
582.957201	3.279165,0.568556
629.462706	3.314244,0.605924
679.678195	3.358026,0.731141
733.899634	3.409277,0.644769
792.446596	3.473301,0.823090
855.664152	3.548009,0.879114
923.924899	3.641797,1.068472
997.631157	3.755797,0.852110
1077.217345	3.940545,1.151606
1163.152534	4.069807,1.146175
1255.943216	4.299498,1.248726
1356.136290	4.637182,1.230991
1464.322282	5.008861,1.261762
1581.138830	5.423680,1.222592
1707.274437	5.949866,0.976481
1843.472532	6.619843,0.723884
1990.535853	7.341156,-0.382268
2149.331174	7.649929,-1.432320
2320.794417	7.179520,-2.949044
2505.936168	6.087451,-4.028674
2705.847633	4.834679,-4.392317
2921.707067	3.722514,-4.196854
3154.786722	2.821397,-3.951867
3406.460345	2.369415,-3.524974
3678.211272	2.092345,-3.089461
3971.641174	1.668463,-2.718467
4288.479493	1.683355,-2.499769
4630.593641	1.612562,-2.147342
5000.000000	1.532059,-1.927609
5398.875812	1.517256,-1.651500
5829.572006	1.474385,-1.585144
6294.627059	1.503983,-1.315923
6796.781954	1.475581,-1.111458
7338.996338	1.763160,-1.103568
7924.465962	1.639538,-1.247380
8556.641521	1.545295,-1.197925
9239.248987	1.455801,-1.247684
9976.311575	1.481888,-1.097290
10772.173450	1.412690,-0.976977
11631.525336	1.489383,-1.049254
12559.432158	1.417299,-1.046782
13561.362897	1.409450,-0.858205
14643.222823	1.588697,-0.781696
15811.388301	1.385109,-0.923496
17072.744369	1.384298,-0.910280
18434.725323	1.376030,-0.857497
19905.358528	1.438152,-0.842442
21493.311735	1.461440,-0.931970
23207.944168	1.484752,-0.670308
25059.361681	1.219430,-0.908751
27058.476327	1.352591,-0.789555
29217.070669	1.243528,-0.941018
31547.867224	1.194694,-1.020502
34064.603453	1.306715,-0.801424
36782.112723	1.382802,-1.045554
39716.411736	1.236432,-1.015256
42884.794930	1.010513,-1.089557
46305.936406	0.775175,-1.152781
50000.000000	0.945533,-2.569801
