Frequency,IN2/IN1
100.000000	0.990068,-0.099133
112.201845	0.987528,-0.110947
125.892541	0.984352,-0.124081
141.253754	0.980380,-0.138662
158.489319	0.975425,-0.154795
177.827941	0.969260,-0.172582
199.526231	0.961608,-0.192112
223.872114	0.952144,-0.213431
251.188643	0.940493,-0.236543
281.838293	0.926224,-0.261380
316.227766	0.908863,-0.287775
354.813389	0.887913,-0.315445
398.107171	0.862872,-0.343953
446.683592	0.833284,-0.372693
501.187234	0.798804,-0.400864
562.341325	0.759259,-0.427504
630.957344	0.714717,-0.451522
707.945784	0.665557,-0.471769
794.328235	0.612520,-0.487149
891.250938	0.556673,-0.496745
1000.000000	0.499355,-0.499970
1122.018454	0.442048,-0.496600
1258.925412	0.386254,-0.486866
1412.537545	0.333287,-0.471350
1584.893192	0.284235,-0.451003
1778.279410	0.239800,-0.426928
1995.262315	0.200362,-0.400239
2238.721139	0.165990,-0.372042
2511.886432	0.136519,-0.343296
2818.382931	0.111577,-0.314815
3162.277660	0.090707,-0.287164
3548.133892	0.073426,-0.260797
3981.071706	0.059215,-0.236005
4466.835922	0.047621,-0.212926
5011.872336	0.038200,-0.191652
5623.413252	0.030587,-0.172161
6309.573445	0.024450,-0.154409
7079.457844	0.019520,-0.138314
7943.282347	0.015568,-0.123770
8912.509381	0.012407,-0.110664
10000.000000	0.009881,-0.098881
11220.184543	0.007865,-0.088307
12589.254118	0.006258,-0.078832
14125.375446	0.004978,-0.070349
15848.931925	0.003958,-0.062763
17782.794100	0.003147,-0.055983
19952.623150	0.002502,-0.049927
22387.211386	0.001988,-0.044520
25118.864315	0.001580,-0.039695
28183.829313	0.001256,-0.035390
